ScaleID,Salary,Description
PR_PR_01,240716,President
PR_VP_01,184171,Vice President
AC_FP_01,140068,Full Professor
AC_FP_02,148055,Full Professor
AC_FP_03,156042,Full Professor
AC_FP_04,164028,Full Professor
AC_FP_05,172016,Full Professor
AC_FP_06,177078,Full Professor
AC_AP_01,87548,Associate Professor
AC_AP_02,91018,Associate Professor
AC_AP_03,94492,Associate Professor
AC_AP_04,97988,Associate Professor
AC_AP_05,101461,Associate Professor
AC_AP_06,104948,Associate Professor
AC_AP_07,108430,Associate Professor
AC_AP_08,111916,Associate Professor
AC_AP_09,115395,Associate Professor
AD_SO_01,106800,Senior Administrative Officer
AD_SO_02,113990,Senior Administrative Officer
AD_SO_03,121181,Senior Administrative Officer
AD_SO_04,128369,Senior Administrative Officer
AD_SO_05,135565,Senior Administrative Officer
AD_SO_06,142758,Senior Administrative Officer
AD_SA_01,39893,Senior Administrator
AD_SA_02,40785,Senior Administrator
AD_SA_03,42037,Senior Administrator
AD_SA_04,43282,Senior Administrator
AD_SA_05,44546,Senior Administrator
AD_SA_06,45799,Senior Administrator
AD_SA_07,47069,Senior Administrator
AD_SA_08,48336,Senior Administrator
AD_SA_09,49613,Senior Administrator
AD_SA_10,50660,Senior Administrator
AD_SA_11,51944,Senior Administrator
AD_SA_12,53265,Senior Administrator
AD_AD_01,26572,Administrator
AD_AD_02,27495,Administrator
AD_AD_03,28629,Administrator
AD_AD_04,29397,Administrator
AD_AD_05,30060,Administrator
AD_AD_06,30830,Administrator
AD_AD_07,31616,Administrator
AD_AD_08,32491,Administrator
AD_AD_09,33224,Administrator
AD_AD_10,34378,Administrator
AD_AD_11,35541,Administrator
AD_AD_12,36715,Administrator
AD_AD_13,37403,Administrator
AD_AD_14,38396,Administrator
AD_AD_15,39212,Administrator
AD_AD_16,39926,Administrator
AD_AD_17,40912,Administrator
AD_AD_18,41892,Administrator
EP_PM_01,86389,EPS Portfolio Manager
EP_PM_02,90698,EPS Portfolio Manager
EP_PM_03,95005,EPS Portfolio Manager
EP_PM_04,99296,EPS Portfolio Manager
EP_PM_05,103583,EPS Portfolio Manager
EP_PM_06,107874,EPS Portfolio Manager
EP_CS_01,44752,EPS Category Specialist
EP_CS_02,47047,EPS Category Specialist
EP_CS_03,49360,EPS Category Specialist
EP_CS_04,51269,EPS Category Specialist
EP_CS_05,53219,EPS Category Specialist
EP_CS_06,55306,EPS Category Specialist
EP_CS_07,57462,EPS Category Specialist
EP_CS_08,59558,EPS Category Specialist
EP_CM_01,67131,EPS Category Manager
EP_CM_02,69712,EPS Category Manager
EP_CM_03,72480,EPS Category Manager
EP_CM_04,75725,EPS Category Manager
EP_CM_05,79087,EPS Category Manager
EP_CM_06,82103,EPS Category Manager
EP_CM_07,86389,EPS Category Manager
EP_CM_08,90698,EPS Category Manager
LB_SL_01,64830,Sub Librarian
LB_SL_02,68413,Sub Librarian
LB_SL_03,71505,Sub Librarian
LB_SL_04,74734,Sub Librarian
LB_SL_05,77824,Sub Librarian
LB_SL_06,80106,Sub Librarian
LB_SL_07,83065,Sub Librarian
LB_SL_08,86613,Sub Librarian
LB_SL_09,90308,Sub Librarian
LB_SL_10,93715,Sub Librarian
LB_SL_11,97127,Sub Librarian
LB_SL_12,100531,Sub Librarian
LB_SL_13,102234,Sub Librarian
LB_SL_14,104052,Sub Librarian
LB_SL_15,106850,Sub Librarian
LB_LA_01,33703,Library Assistant
LB_LA_02,35429,Library Assistant
LB_LA_03,36934,Library Assistant
LB_LA_04,37881,Library Assistant
LB_LA_05,39133,Library Assistant
LB_LA_06,40055,Library Assistant
LB_LA_07,41318,Library Assistant
LB_LA_08,43868,Library Assistant
LB_LA_09,45138,Library Assistant
LB_LA_10,45798,Library Assistant
LB_AL_01,44751,Assistant Librarian
LB_AL_02,47050,Assistant Librarian
LB_AL_03,49364,Assistant Librarian
LB_AL_04,51269,Assistant Librarian
LB_AL_05,53605,Assistant Librarian
LB_AL_06,55126,Assistant Librarian
LB_AL_07,56632,Assistant Librarian
LB_AL_08,57745,Assistant Librarian
LB_AL_09,59104,Assistant Librarian
LB_AL_10,60468,Assistant Librarian
LB_AL_11,61415,Assistant Librarian
LB_AL_12,62371,Assistant Librarian
LB_AL_13,64409,Assistant Librarian
LB_AL_14,66805,Assistant Librarian
LB_AL_15,69293,Assistant Librarian
IT_CO_01,33403,Computer Operator
IT_CO_02,35114,Computer Operator
IT_CO_03,36604,Computer Operator
IT_CO_04,37881,Computer Operator
IT_CO_05,39133,Computer Operator
IT_CO_06,40054,Computer Operator
IT_CO_07,41318,Computer Operator
IT_CO_08,42586,Computer Operator
IT_CO_09,43868,Computer Operator
IT_CO_10,45138,Computer Operator
IT_PO_01,31238,Print Operator
IT_PO_02,32320,Print Operator
